
metadata
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon	
1			2020-07-19T19:41:50Z		42.97302782535553	-84.62056428194046	45.856008986011147	-82.412687418982387	

author
ID	name	email	

copyright
year	license	author	

link
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href	
1							"Garmin International"		http://www.garmin.com	

rte
ID	name	cmt	desc	src	number	type	IsAutoNamed	DisplayColor	TransportationMode	TripName	Date	DayNumber	

rtept
ID	rteID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	DepartureTime	StopDuration	ArrivalTime	CalculationMode	ElevationMode	NamedRoad_Name	NamedRoad_Id	NamedRoad_ProductId	TransportationMode	

wpt
ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime	

Address
wptID	StreetAddress1	StreetAddress2	City	State	Country	PostalCode	

PhoneNumber
wptID	Category	value	

Categories
wptID	Category	

trk
ID	name	cmt	desc	src	number	type	DisplayColor	
1	"ACTIVE LOG 001"						"Green"	

trkseg
ID	trkID	
1	1	

trkpt
ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad	
1	1	42.974684173241258	-82.420719210058451	210.1854248046875	2020-07-11T12:40:21Z																					
2	1	42.974653746932745	-82.420790623873472	190.4783935546875	2020-07-11T12:41:21Z																					
3	1	42.974696746096015	-82.420738572254777	175.577880859375	2020-07-11T12:42:21Z																					
4	1	42.974699679762125	-82.420715689659119	178.942626953125	2020-07-11T12:43:21Z																					
5	1	42.974696829915047	-82.420704625546932	182.30712890625	2020-07-11T12:44:21Z																					
6	1	42.974695488810539	-82.420697752386332	179.4232177734375	2020-07-11T12:45:21Z																					
7	1	42.974692722782493	-82.420694651082158	176.05859375	2020-07-11T12:46:21Z																					
8	1	42.974692638963461	-82.420689705759287	176.539306640625	2020-07-11T12:47:21Z																					
9	1	42.974692219868302	-82.420688951388001	178.942626953125	2020-07-11T12:48:21Z																					
10	1	42.974693141877651	-82.420688280835748	176.05859375	2020-07-11T12:49:21Z																					
11	1	42.97469456680119	-82.42068693973124	177.5006103515625	2020-07-11T12:50:21Z																					
12	1	42.974695069715381	-82.42068643681705	179.4232177734375	2020-07-11T12:51:21Z																					
13	1	42.97469699755311	-82.420686855912209	181.3458251953125	2020-07-11T12:52:21Z																					
14	1	42.974698422476649	-82.42068693973124	176.539306640625	2020-07-11T12:53:21Z																					
15	1	42.974698590114713	-82.420686185359955	177.02001953125	2020-07-11T12:54:21Z																					
16	1	42.974698254838586	-82.420686352998018	177.981201171875	2020-07-11T12:55:21Z																					
