2021-01-30 10:33:15,744 [ERROR] [TextLayover.py run 47] || 14093 140064344147712 || Error while modifying image: list index out of range
2021-01-30 10:33:15,990 [ERROR] [TextLayover.py run 47] || 14093 140063094593280 || Error while modifying image: list index out of range
2021-01-30 10:33:16,057 [ERROR] [TextLayover.py run 47] || 14093 140063086200576 || Error while modifying image: list index out of range
2021-01-30 10:33:16,300 [ERROR] [TextLayover.py run 47] || 14093 140062641616640 || Error while modifying image: list index out of range
2021-01-30 10:33:16,334 [ERROR] [TextLayover.py run 47] || 14093 140064369325824 || Error while modifying image: list index out of range
2021-01-30 10:33:16,746 [ERROR] [TextLayover.py run 47] || 14093 140063803152128 || Error while modifying image: list index out of range
2021-01-30 10:33:17,449 [ERROR] [TextLayover.py run 47] || 14093 140064377718528 || Error while modifying image: list index out of range
2021-01-30 10:33:17,815 [ERROR] [TextLayover.py run 47] || 14093 140064369325824 || Error while modifying image: list index out of range
2021-01-30 10:33:17,822 [ERROR] [TextLayover.py run 47] || 14093 140064352540416 || Error while modifying image: list index out of range
2021-01-30 10:33:17,982 [ERROR] [TextLayover.py run 47] || 14093 140063086200576 || Error while modifying image: list index out of range
2021-01-30 10:33:18,289 [ERROR] [TextLayover.py run 47] || 14093 140063819945728 || Error while modifying image: list index out of range
2021-01-30 10:33:18,594 [ERROR] [TextLayover.py run 47] || 14093 140062633223936 || Error while modifying image: list index out of range
2021-01-30 10:33:18,943 [ERROR] [TextLayover.py run 47] || 14093 140064360933120 || Error while modifying image: list index out of range
2021-01-30 10:33:19,062 [ERROR] [TextLayover.py run 47] || 14093 140063564351232 || Error while modifying image: list index out of range
2021-01-30 10:33:19,398 [ERROR] [TextLayover.py run 47] || 14093 140064335755008 || Error while modifying image: list index out of range
2021-01-30 11:21:07,251 [ERROR] [TextLayover.py run 90] || 11599 140267642410752 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/2020/07/14/12_41_02.JPG'
2021-01-30 11:25:10,742 [ERROR] [TextLayover.py run 90] || 17082 139929229195008 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/2020/07/14/05_40_22.JPG'
2022-07-21 09:40:23,360 [ERROR] [TextLayover.py run 90] || 13868 140592667424512 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 10:28:41,010 [ERROR] [TextLayover.py run 90] || 23160 140098379937536 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 10:32:03,804 [ERROR] [TextLayover.py run 90] || 25942 140559571191552 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 10:44:10,005 [ERROR] [TextLayover.py run 90] || 30216 140131706599168 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 10:46:59,802 [ERROR] [TextLayover.py run 90] || 632 140479832246016 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 15:27:31,323 [ERROR] [TextLayover.py run 90] || 4389 140289022056192 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 15:33:50,101 [ERROR] [TextLayover.py run 90] || 7669 139750239274752 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 15:46:40,009 [ERROR] [TextLayover.py run 90] || 12863 140507271378688 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 15:49:13,519 [ERROR] [TextLayover.py run 90] || 15677 140231205558016 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
2022-07-21 16:15:15,870 [ERROR] [TextLayover.py run 48] || 20966 140033999533888 || Error while modifying image: list index out of range
2022-07-21 16:51:41,153 [ERROR] [TextLayover.py run 50] || 24341 140094434432768 || Error while modifying image: list index out of range
2022-07-21 16:51:55,782 [ERROR] [TextLayover.py run 50] || 24341 140095070619392 || Error while modifying image: list index out of range
2022-07-21 16:52:46,071 [ERROR] [TextLayover.py run 50] || 24341 140094426040064 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/color.cpp:182: error: (-215:Assertion failed) !_src.empty() in function 'cvtColor'

2022-07-21 16:52:46,399 [ERROR] [TextLayover.py run 50] || 24341 140094417647360 || Error while modifying image: division by zero
2022-07-21 16:52:47,381 [ERROR] [TextLayover.py run 92] || 24341 140094426040064 || Error while modifying image: cannot identify image file '/home/dexter/Pictures/mac2022photos/images/2022/07/16/20220716_195230.jpg'
